0.00;0.00;0.00;0.00;0.00;
0.00;0.00;0.00;0.00;0.00;
0.00;0.00;0.00;0.00;0.00;
0.02;0.01;0.01;0.00;0.00;
0.01;0.01;0.01;0.01;0.01;
0.02;0.01;0.01;0.00;0.01;
0.01;0.02;0.02;0.02;0.02;
0.03;0.03;0.03;0.03;0.02;
0.00;0.04;0.04;0.00;0.03;
0.04;0.04;0.03;0.04;0.05;
0.00;0.04;0.05;0.01;0.05;
0.01;0.07;0.07;0.06;0.02;
0.04;0.01;0.08;0.08;0.06;
0.05;0.02;0.02;0.09;0.10;
0.09;0.25;0.08;0.08;0.02;
0.10;0.04;0.09;0.08;0.03;
0.08;0.10;0.02;0.10;0.11;
0.28;0.12;0.12;0.04;0.12;
0.00;0.26;0.14;0.10;0.13;
0.04;0.02;0.13;0.15;0.13;
0.16;0.17;0.13;0.19;0.17;
0.05;0.07;0.20;0.16;0.18;
0.17;0.06;0.08;0.11;0.13;
0.01;0.08;0.21;0.07;0.27;
0.23;0.20;0.27;0.18;0.03;
0.23;0.26;0.23;0.29;0.27;
0.15;0.27;0.31;0.19;0.27;
0.33;0.07;0.26;0.29;0.12;
0.29;0.08;0.37;0.02;0.33;
0.28;0.25;0.05;0.33;0.34;
0.43;0.41;0.37;0.37;0.27;
0.39;0.46;0.28;0.22;0.33;
0.39;0.98;0.41;0.37;0.44;
0.28;0.46;0.17;0.46;0.43;
0.18;0.44;0.19;0.22;0.48;
0.28;0.40;0.20;0.49;0.08;
0.55;0.03;0.44;0.21;0.24;
0.51;0.22;0.24;0.57;0.34;
0.14;0.63;0.01;0.60;0.09;
0.16;0.24;0.57;0.28;0.06;
0.48;0.36;0.26;0.31;0.67;
0.55;0.67;0.31;0.61;0.51;
0.14;0.74;0.58;0.77;0.25;
0.12;0.17;0.12;0.69;0.55;
0.78;0.80;0.77;0.89;0.84;
0.83;0.50;0.33;0.81;0.40;
0.47;0.56;0.65;0.83;0.07;
0.90;0.07;0.78;0.73;0.06;
0.75;0.40;0.79;0.01;0.92;
1.03;0.96;0.07;0.72;0.24;
0.38;0.56;0.72;0.86;0.99;
0.64;0.68;1.11;0.25;0.87;
0.80;0.90;0.75;1.11;0.76;
1.18;0.48;1.04;0.79;1.09;
0.06;1.02;0.27;1.05;0.50;
1.15;0.84;1.17;0.46;1.30;
1.28;0.72;0.90;1.64;1.13;
0.89;1.30;0.61;0.49;0.40;
0.52;1.29;1.26;0.26;1.39;
0.74;0.64;1.46;0.30;1.07;
1.35;1.29;0.98;0.06;1.16;
1.57;0.95;1.17;1.34;1.31;
1.47;1.56;0.18;0.85;1.02;
1.57;0.50;1.85;1.72;1.59;
1.47;1.42;0.40;1.59;0.44;
0.60;1.27;1.66;0.68;1.18;
0.65;0.14;0.95;1.69;1.85;
1.60;1.78;2.10;1.33;1.31;
1.57;1.71;1.78;1.77;1.86;
0.51;1.29;0.67;1.56;1.94;
2.01;1.42;0.59;1.76;1.59;
2.01;2.09;1.14;0.12;1.20;
2.17;2.16;1.00;1.98;1.90;
2.09;0.85;0.46;2.24;2.20;
0.62;0.21;0.17;0.81;1.10;
0.29;0.81;2.25;2.20;2.26;
2.19;2.19;1.69;0.26;0.06;
2.13;1.81;0.50;2.36;2.24;
1.73;0.71;0.48;2.41;0.02;
0.04;0.14;1.97;3.04;2.72;
0.91;2.27;0.29;0.22;2.46;
2.75;0.57;2.76;2.78;2.24;
2.56;1.99;2.86;2.36;0.94;
2.41;1.23;1.71;3.05;1.96;
1.70;2.60;1.78;2.20;2.43;
2.51;2.77;1.35;1.88;2.97;
3.13;3.33;0.98;3.21;3.11;
1.90;2.95;2.22;3.14;2.98;
3.27;2.17;3.10;3.34;2.68;
0.94;3.07;1.47;3.16;1.63;
1.98;3.20;1.69;2.46;2.55;
1.12;1.12;3.28;2.67;2.65;
1.62;3.30;2.48;3.22;1.37;
2.64;2.09;1.96;2.61;0.58;
2.87;3.80;2.90;3.14;3.51;
0.31;3.50;2.82;0.73;2.45;
3.42;3.55;2.74;0.81;0.66;
0.10;0.88;2.45;3.34;1.90;
3.42;3.91;3.95;0.15;3.78;
1.99;4.30;3.68;3.68;3.99;
